Node	Technology	AvailabilityFactor
7	HeatPump_MT	0.98
8	HeatPump_MT	0.98
9	HeatPump_MT	0.98
10	HeatPump_MT	0.98
11	HeatPump_MT	0.98
12	HeatPump_MT	0.98
13	HeatPump_MT	0.98
14	HeatPump_MT	0.98
15	HeatPump_MT	0.98
16	HeatPump_MT	0.98
17	HeatPump_MT	0.98
18	HeatPump_MT	0.98
19	HeatPump_MT	0.98
20	HeatPump_MT	0.98
21	HeatPump_MT	0.98
22	HeatPump_MT	0.98
23	HeatPump_MT	0.98
24	HeatPump_MT	0.98
25	HeatPump_MT	0.98
26	HeatPump_MT	0.98
27	HeatPump_MT	0.98
28	HeatPump_MT	0.98
29	HeatPump_MT	0.98
30	HeatPump_MT	0.98
31	HeatPump_MT	0.98
32	HeatPump_MT	0.98
33	HeatPump_MT	0.98
34	HeatPump_MT	0.98
35	HeatPump_MT	0.98
36	HeatPump_MT	0.98
37	HeatPump_MT	0.98
38	HeatPump_MT	0.98
39	HeatPump_MT	0.98
40	HeatPump_MT	0.98
41	HeatPump_MT	0.98
42	HeatPump_MT	0.98
43	HeatPump_MT	0.98
44	HeatPump_MT	0.98
45	HeatPump_MT	0.98
46	HeatPump_MT	0.98
47	HeatPump_MT	0.98
48	HeatPump_MT	0.98
49	HeatPump_MT	0.98
50	HeatPump_MT	0.98
51	HeatPump_MT	0.98
52	HeatPump_MT	0.98
53	HeatPump_MT	0.98
54	HeatPump_MT	0.98
55	HeatPump_MT	0.98
56	HeatPump_MT	0.98
57	HeatPump_MT	0.98
58	HeatPump_MT	0.98
59	HeatPump_MT	0.98
60	HeatPump_MT	0.98
61	HeatPump_MT	0.98
62	HeatPump_MT	0.98
63	HeatPump_MT	0.98
2	PV	0.14797339999999998
3	PV	0.2587338
4	PV	0.2587338
5	PV	0.2587338
6	PV	0.2587338
7	PV	0.2587338
8	PV	0.2587338
9	PV	0.2587338
10	PV	0.2587338
11	PV	0.2587338
12	PV	0.2587338
13	PV	0.2587338
14	PV	0.2587338
15	PV	0.2587338
16	PV	0.2587338
17	PV	0.2587338
18	PV	0.2587338
19	PV	0.2587338
20	PV	0.2587338
21	PV	0.2587338
22	PV	0.2587338
23	PV	0.2587338
24	PV	0.2587338
25	PV	0.2587338
26	PV	0.2587338
27	PV	0.2587338
28	PV	0.2587338
29	PV	0.2587338
30	PV	0.2587338
31	PV	0.2587338
32	PV	0.2587338
33	PV	0.2587338
34	PV	0.2587338
35	PV	0.2587338
36	PV	0.2587338
37	PV	0.2587338
38	PV	0.2587338
39	PV	0.2587338
40	PV	0.2587338
41	PV	0.2587338
42	PV	0.2587338
43	PV	0.2587338
44	PV	0.2587338
45	PV	0.2587338
46	PV	0.2587338
47	PV	0.2587338
48	PV	0.2587338
49	PV	0.2587338
50	PV	0.2587338
51	PV	0.2587338
52	PV	0.2587338
53	PV	0.2587338
54	PV	0.2587338
55	PV	0.2587338
56	PV	0.2587338
57	PV	0.2587338
58	PV	0.2587338
59	PV	0.2587338
60	PV	0.2587338
61	PV	0.2587338
62	PV	0.2587338
63	PV	0.2587338
2	P2G	0.98
3	P2G	0.98
4	P2G	0.98
5	P2G	0.98
6	P2G	0.98
7	P2G	0.98
8	P2G	0.98
9	P2G	0.98
10	P2G	0.98
11	P2G	0.98
12	P2G	0.98
13	P2G	0.98
14	P2G	0.98
15	P2G	0.98
16	P2G	0.98
17	P2G	0.98
18	P2G	0.98
19	P2G	0.98
20	P2G	0.98
21	P2G	0.98
22	P2G	0.98
23	P2G	0.98
24	P2G	0.98
25	P2G	0.98
26	P2G	0.98
27	P2G	0.98
28	P2G	0.98
29	P2G	0.98
30	P2G	0.98
31	P2G	0.98
32	P2G	0.98
33	P2G	0.98
34	P2G	0.98
35	P2G	0.98
36	P2G	0.98
37	P2G	0.98
38	P2G	0.98
39	P2G	0.98
40	P2G	0.98
41	P2G	0.98
42	P2G	0.98
43	P2G	0.98
44	P2G	0.98
45	P2G	0.98
46	P2G	0.98
47	P2G	0.98
48	P2G	0.98
49	P2G	0.98
50	P2G	0.98
51	P2G	0.98
52	P2G	0.98
53	P2G	0.98
54	P2G	0.98
55	P2G	0.98
56	P2G	0.98
57	P2G	0.98
58	P2G	0.98
59	P2G	0.98
60	P2G	0.98
61	P2G	0.98
62	P2G	0.98
63	P2G	0.98
2	G2P	0.98
3	G2P	0.98
4	G2P	0.98
5	G2P	0.98
6	G2P	0.98
7	G2P	0.98
8	G2P	0.98
9	G2P	0.98
10	G2P	0.98
11	G2P	0.98
12	G2P	0.98
13	G2P	0.98
14	G2P	0.98
15	G2P	0.98
16	G2P	0.98
17	G2P	0.98
18	G2P	0.98
19	G2P	0.98
20	G2P	0.98
21	G2P	0.98
22	G2P	0.98
23	G2P	0.98
24	G2P	0.98
25	G2P	0.98
26	G2P	0.98
27	G2P	0.98
28	G2P	0.98
29	G2P	0.98
30	G2P	0.98
31	G2P	0.98
32	G2P	0.98
33	G2P	0.98
34	G2P	0.98
35	G2P	0.98
36	G2P	0.98
37	G2P	0.98
38	G2P	0.98
39	G2P	0.98
40	G2P	0.98
41	G2P	0.98
42	G2P	0.98
43	G2P	0.98
44	G2P	0.98
45	G2P	0.98
46	G2P	0.98
47	G2P	0.98
48	G2P	0.98
49	G2P	0.98
50	G2P	0.98
51	G2P	0.98
52	G2P	0.98
53	G2P	0.98
54	G2P	0.98
55	G2P	0.98
56	G2P	0.98
57	G2P	0.98
58	G2P	0.98
59	G2P	0.98
60	G2P	0.98
61	G2P	0.98
62	G2P	0.98
63	G2P	0.98
2	GasBoiler	0.98
3	GasBoiler	0.98
4	GasBoiler	0.98
5	GasBoiler	0.98
6	GasBoiler	0.98
7	GasBoiler	0.98
8	GasBoiler	0.98
9	GasBoiler	0.98
10	GasBoiler	0.98
11	GasBoiler	0.98
12	GasBoiler	0.98
13	GasBoiler	0.98
14	GasBoiler	0.98
15	GasBoiler	0.98
16	GasBoiler	0.98
17	GasBoiler	0.98
18	GasBoiler	0.98
19	GasBoiler	0.98
20	GasBoiler	0.98
21	GasBoiler	0.98
22	GasBoiler	0.98
23	GasBoiler	0.98
24	GasBoiler	0.98
25	GasBoiler	0.98
26	GasBoiler	0.98
27	GasBoiler	0.98
28	GasBoiler	0.98
29	GasBoiler	0.98
30	GasBoiler	0.98
31	GasBoiler	0.98
32	GasBoiler	0.98
33	GasBoiler	0.98
34	GasBoiler	0.98
35	GasBoiler	0.98
36	GasBoiler	0.98
37	GasBoiler	0.98
38	GasBoiler	0.98
39	GasBoiler	0.98
40	GasBoiler	0.98
41	GasBoiler	0.98
42	GasBoiler	0.98
43	GasBoiler	0.98
44	GasBoiler	0.98
45	GasBoiler	0.98
46	GasBoiler	0.98
47	GasBoiler	0.98
48	GasBoiler	0.98
49	GasBoiler	0.98
50	GasBoiler	0.98
51	GasBoiler	0.98
52	GasBoiler	0.98
53	GasBoiler	0.98
54	GasBoiler	0.98
55	GasBoiler	0.98
56	GasBoiler	0.98
57	GasBoiler	0.98
58	GasBoiler	0.98
59	GasBoiler	0.98
60	GasBoiler	0.98
61	GasBoiler	0.98
62	GasBoiler	0.98
63	GasBoiler	0.98
2	CHP	0.98
3	CHP	0.98
4	CHP	0.98
5	CHP	0.98
6	CHP	0.98
7	CHP	0.98
8	CHP	0.98
9	CHP	0.98
10	CHP	0.98
11	CHP	0.98
12	CHP	0.98
13	CHP	0.98
14	CHP	0.98
15	CHP	0.98
16	CHP	0.98
17	CHP	0.98
18	CHP	0.98
19	CHP	0.98
20	CHP	0.98
21	CHP	0.98
22	CHP	0.98
23	CHP	0.98
24	CHP	0.98
25	CHP	0.98
26	CHP	0.98
27	CHP	0.98
28	CHP	0.98
29	CHP	0.98
30	CHP	0.98
31	CHP	0.98
32	CHP	0.98
33	CHP	0.98
34	CHP	0.98
35	CHP	0.98
36	CHP	0.98
37	CHP	0.98
38	CHP	0.98
39	CHP	0.98
40	CHP	0.98
41	CHP	0.98
42	CHP	0.98
43	CHP	0.98
44	CHP	0.98
45	CHP	0.98
46	CHP	0.98
47	CHP	0.98
48	CHP	0.98
49	CHP	0.98
50	CHP	0.98
51	CHP	0.98
52	CHP	0.98
53	CHP	0.98
54	CHP	0.98
55	CHP	0.98
56	CHP	0.98
57	CHP	0.98
58	CHP	0.98
59	CHP	0.98
60	CHP	0.98
61	CHP	0.98
62	CHP	0.98
63	CHP	0.98
2	Biogas_Grid	0.9
3	Biogas_Grid	0.9
4	Biogas_Grid	0.9
5	Biogas_Grid	0.9
6	Biogas_Grid	0.9
7	Biogas_Grid	0.9
8	Biogas_Grid	0.9
9	Biogas_Grid	0.9
10	Biogas_Grid	0.9
11	Biogas_Grid	0.9
12	Biogas_Grid	0.9
13	Biogas_Grid	0.9
14	Biogas_Grid	0.9
15	Biogas_Grid	0.9
16	Biogas_Grid	0.9
17	Biogas_Grid	0.9
18	Biogas_Grid	0.9
19	Biogas_Grid	0.9
20	Biogas_Grid	0.9
21	Biogas_Grid	0.9
22	Biogas_Grid	0.9
23	Biogas_Grid	0.9
24	Biogas_Grid	0.9
25	Biogas_Grid	0.9
26	Biogas_Grid	0.9
27	Biogas_Grid	0.9
28	Biogas_Grid	0.9
29	Biogas_Grid	0.9
30	Biogas_Grid	0.9
31	Biogas_Grid	0.9
32	Biogas_Grid	0.9
33	Biogas_Grid	0.9
34	Biogas_Grid	0.9
35	Biogas_Grid	0.9
36	Biogas_Grid	0.9
37	Biogas_Grid	0.9
38	Biogas_Grid	0.9
39	Biogas_Grid	0.9
40	Biogas_Grid	0.9
41	Biogas_Grid	0.9
42	Biogas_Grid	0.9
43	Biogas_Grid	0.9
44	Biogas_Grid	0.9
45	Biogas_Grid	0.9
46	Biogas_Grid	0.9
47	Biogas_Grid	0.9
48	Biogas_Grid	0.9
49	Biogas_Grid	0.9
50	Biogas_Grid	0.9
51	Biogas_Grid	0.9
52	Biogas_Grid	0.9
53	Biogas_Grid	0.9
54	Biogas_Grid	0.9
55	Biogas_Grid	0.9
56	Biogas_Grid	0.9
57	Biogas_Grid	0.9
58	Biogas_Grid	0.9
59	Biogas_Grid	0.9
60	Biogas_Grid	0.9
61	Biogas_Grid	0.9
62	Biogas_Grid	0.9
63	Biogas_Grid	0.9
2	CH4_Grid	0.8
3	CH4_Grid	0.8
4	CH4_Grid	0.8
5	CH4_Grid	0.8
6	CH4_Grid	0.8
7	CH4_Grid	0.8
8	CH4_Grid	0.8
9	CH4_Grid	0.8
10	CH4_Grid	0.8
11	CH4_Grid	0.8
12	CH4_Grid	0.8
13	CH4_Grid	0.8
14	CH4_Grid	0.8
15	CH4_Grid	0.8
16	CH4_Grid	0.8
17	CH4_Grid	0.8
18	CH4_Grid	0.8
19	CH4_Grid	0.8
20	CH4_Grid	0.8
21	CH4_Grid	0.8
22	CH4_Grid	0.8
23	CH4_Grid	0.8
24	CH4_Grid	0.8
25	CH4_Grid	0.8
26	CH4_Grid	0.8
27	CH4_Grid	0.8
28	CH4_Grid	0.8
29	CH4_Grid	0.8
30	CH4_Grid	0.8
31	CH4_Grid	0.8
32	CH4_Grid	0.8
33	CH4_Grid	0.8
34	CH4_Grid	0.8
35	CH4_Grid	0.8
36	CH4_Grid	0.8
37	CH4_Grid	0.8
38	CH4_Grid	0.8
39	CH4_Grid	0.8
40	CH4_Grid	0.8
41	CH4_Grid	0.8
42	CH4_Grid	0.8
43	CH4_Grid	0.8
44	CH4_Grid	0.8
45	CH4_Grid	0.8
46	CH4_Grid	0.8
47	CH4_Grid	0.8
48	CH4_Grid	0.8
49	CH4_Grid	0.8
50	CH4_Grid	0.8
51	CH4_Grid	0.8
52	CH4_Grid	0.8
53	CH4_Grid	0.8
54	CH4_Grid	0.8
55	CH4_Grid	0.8
56	CH4_Grid	0.8
57	CH4_Grid	0.8
58	CH4_Grid	0.8
59	CH4_Grid	0.8
60	CH4_Grid	0.8
61	CH4_Grid	0.8
62	CH4_Grid	0.8
63	CH4_Grid	0.8
2	CH4_H2_Mixer	1.0
3	CH4_H2_Mixer	1.0
4	CH4_H2_Mixer	1.0
5	CH4_H2_Mixer	1.0
6	CH4_H2_Mixer	1.0
7	CH4_H2_Mixer	1.0
8	CH4_H2_Mixer	1.0
9	CH4_H2_Mixer	1.0
10	CH4_H2_Mixer	1.0
11	CH4_H2_Mixer	1.0
12	CH4_H2_Mixer	1.0
13	CH4_H2_Mixer	1.0
14	CH4_H2_Mixer	1.0
15	CH4_H2_Mixer	1.0
16	CH4_H2_Mixer	1.0
17	CH4_H2_Mixer	1.0
18	CH4_H2_Mixer	1.0
19	CH4_H2_Mixer	1.0
20	CH4_H2_Mixer	1.0
21	CH4_H2_Mixer	1.0
22	CH4_H2_Mixer	1.0
23	CH4_H2_Mixer	1.0
24	CH4_H2_Mixer	1.0
25	CH4_H2_Mixer	1.0
26	CH4_H2_Mixer	1.0
27	CH4_H2_Mixer	1.0
28	CH4_H2_Mixer	1.0
29	CH4_H2_Mixer	1.0
30	CH4_H2_Mixer	1.0
31	CH4_H2_Mixer	1.0
32	CH4_H2_Mixer	1.0
33	CH4_H2_Mixer	1.0
34	CH4_H2_Mixer	1.0
35	CH4_H2_Mixer	1.0
36	CH4_H2_Mixer	1.0
37	CH4_H2_Mixer	1.0
38	CH4_H2_Mixer	1.0
39	CH4_H2_Mixer	1.0
40	CH4_H2_Mixer	1.0
41	CH4_H2_Mixer	1.0
42	CH4_H2_Mixer	1.0
43	CH4_H2_Mixer	1.0
44	CH4_H2_Mixer	1.0
45	CH4_H2_Mixer	1.0
46	CH4_H2_Mixer	1.0
47	CH4_H2_Mixer	1.0
48	CH4_H2_Mixer	1.0
49	CH4_H2_Mixer	1.0
50	CH4_H2_Mixer	1.0
51	CH4_H2_Mixer	1.0
52	CH4_H2_Mixer	1.0
53	CH4_H2_Mixer	1.0
54	CH4_H2_Mixer	1.0
55	CH4_H2_Mixer	1.0
56	CH4_H2_Mixer	1.0
57	CH4_H2_Mixer	1.0
58	CH4_H2_Mixer	1.0
59	CH4_H2_Mixer	1.0
60	CH4_H2_Mixer	1.0
61	CH4_H2_Mixer	1.0
62	CH4_H2_Mixer	1.0
63	CH4_H2_Mixer	1.0
