Node	Technology	Cost
48	HeatPump_LT	0.0
49	HeatPump_LT	0.0
50	HeatPump_LT	0.0
51	HeatPump_LT	0.0
52	HeatPump_LT	0.0
53	HeatPump_LT	0.0
54	HeatPump_LT	0.0
55	HeatPump_LT	0.0
56	HeatPump_LT	0.0
57	HeatPump_LT	0.0
58	HeatPump_LT	0.0
59	HeatPump_LT	0.0
60	HeatPump_LT	0.0
61	HeatPump_LT	0.0
62	HeatPump_LT	0.0
63	HeatPump_LT	0.0
2	HeatPump_MT	0.0
3	HeatPump_MT	0.0
4	HeatPump_MT	0.0
5	HeatPump_MT	0.0
6	HeatPump_MT	0.0
7	HeatPump_MT	0.0
8	HeatPump_MT	0.0
9	HeatPump_MT	0.0
10	HeatPump_MT	0.0
11	HeatPump_MT	0.0
12	HeatPump_MT	0.0
13	HeatPump_MT	0.0
14	HeatPump_MT	0.0
15	HeatPump_MT	0.0
16	HeatPump_MT	0.0
17	HeatPump_MT	0.0
18	HeatPump_MT	0.0
19	HeatPump_MT	0.0
20	HeatPump_MT	0.0
21	HeatPump_MT	0.0
22	HeatPump_MT	0.0
23	HeatPump_MT	0.0
24	HeatPump_MT	0.0
25	HeatPump_MT	0.0
26	HeatPump_MT	0.0
27	HeatPump_MT	0.0
28	HeatPump_MT	0.0
29	HeatPump_MT	0.0
30	HeatPump_MT	0.0
31	HeatPump_MT	0.0
32	HeatPump_MT	0.0
33	HeatPump_MT	0.0
34	HeatPump_MT	0.0
35	HeatPump_MT	0.0
36	HeatPump_MT	0.0
37	HeatPump_MT	0.0
38	HeatPump_MT	0.0
39	HeatPump_MT	0.0
40	HeatPump_MT	0.0
41	HeatPump_MT	0.0
42	HeatPump_MT	0.0
43	HeatPump_MT	0.0
44	HeatPump_MT	0.0
45	HeatPump_MT	0.0
46	HeatPump_MT	0.0
47	HeatPump_MT	0.0
48	HeatPump_MT	0.0
49	HeatPump_MT	0.0
50	HeatPump_MT	0.0
51	HeatPump_MT	0.0
52	HeatPump_MT	0.0
53	HeatPump_MT	0.0
54	HeatPump_MT	0.0
55	HeatPump_MT	0.0
56	HeatPump_MT	0.0
57	HeatPump_MT	0.0
58	HeatPump_MT	0.0
59	HeatPump_MT	0.0
60	HeatPump_MT	0.0
61	HeatPump_MT	0.0
62	HeatPump_MT	0.0
63	HeatPump_MT	0.0
2	PV	0.0
3	PV	0.0
4	PV	0.0
5	PV	0.0
6	PV	0.0
7	PV	0.0
8	PV	0.0
9	PV	0.0
10	PV	0.0
11	PV	0.0
12	PV	0.0
13	PV	0.0
14	PV	0.0
15	PV	0.0
16	PV	0.0
17	PV	0.0
18	PV	0.0
19	PV	0.0
20	PV	0.0
21	PV	0.0
22	PV	0.0
23	PV	0.0
24	PV	0.0
25	PV	0.0
26	PV	0.0
27	PV	0.0
28	PV	0.0
29	PV	0.0
30	PV	0.0
31	PV	0.0
32	PV	0.0
33	PV	0.0
34	PV	0.0
35	PV	0.0
36	PV	0.0
37	PV	0.0
38	PV	0.0
39	PV	0.0
40	PV	0.0
41	PV	0.0
42	PV	0.0
43	PV	0.0
44	PV	0.0
45	PV	0.0
46	PV	0.0
47	PV	0.0
48	PV	0.0
49	PV	0.0
50	PV	0.0
51	PV	0.0
52	PV	0.0
53	PV	0.0
54	PV	0.0
55	PV	0.0
56	PV	0.0
57	PV	0.0
58	PV	0.0
59	PV	0.0
60	PV	0.0
61	PV	0.0
62	PV	0.0
63	PV	0.0
2	P2G	0.0
3	P2G	0.0
4	P2G	0.0
5	P2G	0.0
6	P2G	0.0
7	P2G	0.0
8	P2G	0.0
9	P2G	0.0
10	P2G	0.0
11	P2G	0.0
12	P2G	0.0
13	P2G	0.0
14	P2G	0.0
15	P2G	0.0
16	P2G	0.0
17	P2G	0.0
18	P2G	0.0
19	P2G	0.0
20	P2G	0.0
21	P2G	0.0
22	P2G	0.0
23	P2G	0.0
24	P2G	0.0
25	P2G	0.0
26	P2G	0.0
27	P2G	0.0
28	P2G	0.0
29	P2G	0.0
30	P2G	0.0
31	P2G	0.0
32	P2G	0.0
33	P2G	0.0
34	P2G	0.0
35	P2G	0.0
36	P2G	0.0
37	P2G	0.0
38	P2G	0.0
39	P2G	0.0
40	P2G	0.0
41	P2G	0.0
42	P2G	0.0
43	P2G	0.0
44	P2G	0.0
45	P2G	0.0
46	P2G	0.0
47	P2G	0.0
48	P2G	0.0
49	P2G	0.0
50	P2G	0.0
51	P2G	0.0
52	P2G	0.0
53	P2G	0.0
54	P2G	0.0
55	P2G	0.0
56	P2G	0.0
57	P2G	0.0
58	P2G	0.0
59	P2G	0.0
60	P2G	0.0
61	P2G	0.0
62	P2G	0.0
63	P2G	0.0
2	G2P	0.0
3	G2P	0.0
4	G2P	0.0
5	G2P	0.0
6	G2P	0.0
7	G2P	0.0
8	G2P	0.0
9	G2P	0.0
10	G2P	0.0
11	G2P	0.0
12	G2P	0.0
13	G2P	0.0
14	G2P	0.0
15	G2P	0.0
16	G2P	0.0
17	G2P	0.0
18	G2P	0.0
19	G2P	0.0
20	G2P	0.0
21	G2P	0.0
22	G2P	0.0
23	G2P	0.0
24	G2P	0.0
25	G2P	0.0
26	G2P	0.0
27	G2P	0.0
28	G2P	0.0
29	G2P	0.0
30	G2P	0.0
31	G2P	0.0
32	G2P	0.0
33	G2P	0.0
34	G2P	0.0
35	G2P	0.0
36	G2P	0.0
37	G2P	0.0
38	G2P	0.0
39	G2P	0.0
40	G2P	0.0
41	G2P	0.0
42	G2P	0.0
43	G2P	0.0
44	G2P	0.0
45	G2P	0.0
46	G2P	0.0
47	G2P	0.0
48	G2P	0.0
49	G2P	0.0
50	G2P	0.0
51	G2P	0.0
52	G2P	0.0
53	G2P	0.0
54	G2P	0.0
55	G2P	0.0
56	G2P	0.0
57	G2P	0.0
58	G2P	0.0
59	G2P	0.0
60	G2P	0.0
61	G2P	0.0
62	G2P	0.0
63	G2P	0.0
2	GasBoiler	0.0
3	GasBoiler	0.0
4	GasBoiler	0.0
5	GasBoiler	0.0
6	GasBoiler	0.0
7	GasBoiler	0.0
8	GasBoiler	0.0
9	GasBoiler	0.0
10	GasBoiler	0.0
11	GasBoiler	0.0
12	GasBoiler	0.0
13	GasBoiler	0.0
14	GasBoiler	0.0
15	GasBoiler	0.0
16	GasBoiler	0.0
17	GasBoiler	0.0
18	GasBoiler	0.0
19	GasBoiler	0.0
20	GasBoiler	0.0
21	GasBoiler	0.0
22	GasBoiler	0.0
23	GasBoiler	0.0
24	GasBoiler	0.0
25	GasBoiler	0.0
26	GasBoiler	0.0
27	GasBoiler	0.0
28	GasBoiler	0.0
29	GasBoiler	0.0
30	GasBoiler	0.0
31	GasBoiler	0.0
32	GasBoiler	0.0
33	GasBoiler	0.0
34	GasBoiler	0.0
35	GasBoiler	0.0
36	GasBoiler	0.0
37	GasBoiler	0.0
38	GasBoiler	0.0
39	GasBoiler	0.0
40	GasBoiler	0.0
41	GasBoiler	0.0
42	GasBoiler	0.0
43	GasBoiler	0.0
44	GasBoiler	0.0
45	GasBoiler	0.0
46	GasBoiler	0.0
47	GasBoiler	0.0
48	GasBoiler	0.0
49	GasBoiler	0.0
50	GasBoiler	0.0
51	GasBoiler	0.0
52	GasBoiler	0.0
53	GasBoiler	0.0
54	GasBoiler	0.0
55	GasBoiler	0.0
56	GasBoiler	0.0
57	GasBoiler	0.0
58	GasBoiler	0.0
59	GasBoiler	0.0
60	GasBoiler	0.0
61	GasBoiler	0.0
62	GasBoiler	0.0
63	GasBoiler	0.0
2	CHP	0.0
3	CHP	0.0
4	CHP	0.0
5	CHP	0.0
6	CHP	0.0
7	CHP	0.0
8	CHP	0.0
9	CHP	0.0
10	CHP	0.0
11	CHP	0.0
12	CHP	0.0
13	CHP	0.0
14	CHP	0.0
15	CHP	0.0
16	CHP	0.0
17	CHP	0.0
18	CHP	0.0
19	CHP	0.0
20	CHP	0.0
21	CHP	0.0
22	CHP	0.0
23	CHP	0.0
24	CHP	0.0
25	CHP	0.0
26	CHP	0.0
27	CHP	0.0
28	CHP	0.0
29	CHP	0.0
30	CHP	0.0
31	CHP	0.0
32	CHP	0.0
33	CHP	0.0
34	CHP	0.0
35	CHP	0.0
36	CHP	0.0
37	CHP	0.0
38	CHP	0.0
39	CHP	0.0
40	CHP	0.0
41	CHP	0.0
42	CHP	0.0
43	CHP	0.0
44	CHP	0.0
45	CHP	0.0
46	CHP	0.0
47	CHP	0.0
48	CHP	0.0
49	CHP	0.0
50	CHP	0.0
51	CHP	0.0
52	CHP	0.0
53	CHP	0.0
54	CHP	0.0
55	CHP	0.0
56	CHP	0.0
57	CHP	0.0
58	CHP	0.0
59	CHP	0.0
60	CHP	0.0
61	CHP	0.0
62	CHP	0.0
63	CHP	0.0
2	Biogas_Grid	64.5
3	Biogas_Grid	64.5
4	Biogas_Grid	64.5
5	Biogas_Grid	64.5
6	Biogas_Grid	64.5
7	Biogas_Grid	64.5
8	Biogas_Grid	64.5
9	Biogas_Grid	64.5
10	Biogas_Grid	64.5
11	Biogas_Grid	64.5
12	Biogas_Grid	64.5
13	Biogas_Grid	64.5
14	Biogas_Grid	64.5
15	Biogas_Grid	64.5
16	Biogas_Grid	64.5
17	Biogas_Grid	64.5
18	Biogas_Grid	64.5
19	Biogas_Grid	64.5
20	Biogas_Grid	64.5
21	Biogas_Grid	64.5
22	Biogas_Grid	64.5
23	Biogas_Grid	64.5
24	Biogas_Grid	64.5
25	Biogas_Grid	64.5
26	Biogas_Grid	64.5
27	Biogas_Grid	64.5
28	Biogas_Grid	64.5
29	Biogas_Grid	64.5
30	Biogas_Grid	64.5
31	Biogas_Grid	64.5
32	Biogas_Grid	64.5
33	Biogas_Grid	64.5
34	Biogas_Grid	64.5
35	Biogas_Grid	64.5
36	Biogas_Grid	64.5
37	Biogas_Grid	64.5
38	Biogas_Grid	64.5
39	Biogas_Grid	64.5
40	Biogas_Grid	64.5
41	Biogas_Grid	64.5
42	Biogas_Grid	64.5
43	Biogas_Grid	64.5
44	Biogas_Grid	64.5
45	Biogas_Grid	64.5
46	Biogas_Grid	64.5
47	Biogas_Grid	64.5
48	Biogas_Grid	64.5
49	Biogas_Grid	64.5
50	Biogas_Grid	64.5
51	Biogas_Grid	64.5
52	Biogas_Grid	64.5
53	Biogas_Grid	64.5
54	Biogas_Grid	64.5
55	Biogas_Grid	64.5
56	Biogas_Grid	64.5
57	Biogas_Grid	64.5
58	Biogas_Grid	64.5
59	Biogas_Grid	64.5
60	Biogas_Grid	64.5
61	Biogas_Grid	64.5
62	Biogas_Grid	64.5
63	Biogas_Grid	64.5
2	CH4_Grid	39.479
3	CH4_Grid	39.479
4	CH4_Grid	39.479
5	CH4_Grid	39.479
6	CH4_Grid	39.479
7	CH4_Grid	39.479
8	CH4_Grid	39.479
9	CH4_Grid	39.479
10	CH4_Grid	39.479
11	CH4_Grid	39.479
12	CH4_Grid	39.479
13	CH4_Grid	39.479
14	CH4_Grid	39.479
15	CH4_Grid	39.479
16	CH4_Grid	39.479
17	CH4_Grid	39.479
18	CH4_Grid	39.479
19	CH4_Grid	39.479
20	CH4_Grid	39.479
21	CH4_Grid	39.479
22	CH4_Grid	39.479
23	CH4_Grid	39.479
24	CH4_Grid	39.479
25	CH4_Grid	39.479
26	CH4_Grid	39.479
27	CH4_Grid	39.479
28	CH4_Grid	39.479
29	CH4_Grid	39.479
30	CH4_Grid	39.479
31	CH4_Grid	39.479
32	CH4_Grid	39.479
33	CH4_Grid	39.479
34	CH4_Grid	39.479
35	CH4_Grid	39.479
36	CH4_Grid	39.479
37	CH4_Grid	39.479
38	CH4_Grid	39.479
39	CH4_Grid	39.479
40	CH4_Grid	39.479
41	CH4_Grid	39.479
42	CH4_Grid	39.479
43	CH4_Grid	39.479
44	CH4_Grid	39.479
45	CH4_Grid	39.479
46	CH4_Grid	39.479
47	CH4_Grid	39.479
48	CH4_Grid	39.479
49	CH4_Grid	39.479
50	CH4_Grid	39.479
51	CH4_Grid	39.479
52	CH4_Grid	39.479
53	CH4_Grid	39.479
54	CH4_Grid	39.479
55	CH4_Grid	39.479
56	CH4_Grid	39.479
57	CH4_Grid	39.479
58	CH4_Grid	39.479
59	CH4_Grid	39.479
60	CH4_Grid	39.479
61	CH4_Grid	39.479
62	CH4_Grid	39.479
63	CH4_Grid	39.479
2	CH4_H2_Mixer	0.0
3	CH4_H2_Mixer	0.0
4	CH4_H2_Mixer	0.0
5	CH4_H2_Mixer	0.0
6	CH4_H2_Mixer	0.0
7	CH4_H2_Mixer	0.0
8	CH4_H2_Mixer	0.0
9	CH4_H2_Mixer	0.0
10	CH4_H2_Mixer	0.0
11	CH4_H2_Mixer	0.0
12	CH4_H2_Mixer	0.0
13	CH4_H2_Mixer	0.0
14	CH4_H2_Mixer	0.0
15	CH4_H2_Mixer	0.0
16	CH4_H2_Mixer	0.0
17	CH4_H2_Mixer	0.0
18	CH4_H2_Mixer	0.0
19	CH4_H2_Mixer	0.0
20	CH4_H2_Mixer	0.0
21	CH4_H2_Mixer	0.0
22	CH4_H2_Mixer	0.0
23	CH4_H2_Mixer	0.0
24	CH4_H2_Mixer	0.0
25	CH4_H2_Mixer	0.0
26	CH4_H2_Mixer	0.0
27	CH4_H2_Mixer	0.0
28	CH4_H2_Mixer	0.0
29	CH4_H2_Mixer	0.0
30	CH4_H2_Mixer	0.0
31	CH4_H2_Mixer	0.0
32	CH4_H2_Mixer	0.0
33	CH4_H2_Mixer	0.0
34	CH4_H2_Mixer	0.0
35	CH4_H2_Mixer	0.0
36	CH4_H2_Mixer	0.0
37	CH4_H2_Mixer	0.0
38	CH4_H2_Mixer	0.0
39	CH4_H2_Mixer	0.0
40	CH4_H2_Mixer	0.0
41	CH4_H2_Mixer	0.0
42	CH4_H2_Mixer	0.0
43	CH4_H2_Mixer	0.0
44	CH4_H2_Mixer	0.0
45	CH4_H2_Mixer	0.0
46	CH4_H2_Mixer	0.0
47	CH4_H2_Mixer	0.0
48	CH4_H2_Mixer	0.0
49	CH4_H2_Mixer	0.0
50	CH4_H2_Mixer	0.0
51	CH4_H2_Mixer	0.0
52	CH4_H2_Mixer	0.0
53	CH4_H2_Mixer	0.0
54	CH4_H2_Mixer	0.0
55	CH4_H2_Mixer	0.0
56	CH4_H2_Mixer	0.0
57	CH4_H2_Mixer	0.0
58	CH4_H2_Mixer	0.0
59	CH4_H2_Mixer	0.0
60	CH4_H2_Mixer	0.0
61	CH4_H2_Mixer	0.0
62	CH4_H2_Mixer	0.0
63	CH4_H2_Mixer	0.0
