Node	EnergyCarrier	Demand
49	MT	4
50	MT	4
51	MT	4
52	MT	4
53	MT	4
54	MT	4
55	MT	4
56	MT	4
57	MT	4
58	MT	4
59	MT	4
60	MT	4
61	MT	4
62	MT	4
63	MT	4
2	H2	0
3	H2	0
4	H2	0
5	H2	0
6	H2	0
7	H2	0
8	H2	0
9	H2	0
10	H2	0
11	H2	0
12	H2	0
13	H2	0
14	H2	0
15	H2	0
16	H2	0
17	H2	0
18	H2	0
19	H2	0
20	H2	0
21	H2	0
22	H2	0
23	H2	0
24	H2	0
25	H2	0
26	H2	0
27	H2	0
28	H2	0
29	H2	0
30	H2	0
31	H2	0
32	H2	0
33	H2	0
34	H2	0
35	H2	0
36	H2	0
37	H2	0
38	H2	0
39	H2	0
40	H2	0
41	H2	0
42	H2	0
43	H2	0
44	H2	0
45	H2	0
46	H2	0
47	H2	0
48	H2	0
49	H2	0
50	H2	0
51	H2	0
52	H2	0
53	H2	0
54	H2	0
55	H2	0
56	H2	0
57	H2	0
58	H2	0
59	H2	0
60	H2	0
61	H2	0
62	H2	0
63	H2	0
2	CH4	0
3	CH4	0
4	CH4	0
5	CH4	0
6	CH4	0
7	CH4	0
8	CH4	0
9	CH4	0
10	CH4	0
11	CH4	0
12	CH4	0
13	CH4	0
14	CH4	0
15	CH4	0
16	CH4	0
17	CH4	0
18	CH4	0
19	CH4	0
20	CH4	0
21	CH4	0
22	CH4	0
23	CH4	0
24	CH4	0
25	CH4	0
26	CH4	0
27	CH4	0
28	CH4	0
29	CH4	0
30	CH4	0
31	CH4	0
32	CH4	0
33	CH4	0
34	CH4	0
35	CH4	0
36	CH4	0
37	CH4	0
38	CH4	0
39	CH4	0
40	CH4	0
41	CH4	0
42	CH4	0
43	CH4	0
44	CH4	0
45	CH4	0
46	CH4	0
47	CH4	0
48	CH4	0
49	CH4	0
50	CH4	0
51	CH4	0
52	CH4	0
53	CH4	0
54	CH4	0
55	CH4	0
56	CH4	0
57	CH4	0
58	CH4	0
59	CH4	0
60	CH4	0
61	CH4	0
62	CH4	0
63	CH4	0
2	Biogas	0
3	Biogas	0
4	Biogas	0
5	Biogas	0
6	Biogas	0
7	Biogas	0
8	Biogas	0
9	Biogas	0
10	Biogas	0
11	Biogas	0
12	Biogas	0
13	Biogas	0
14	Biogas	0
15	Biogas	0
16	Biogas	0
17	Biogas	0
18	Biogas	0
19	Biogas	0
20	Biogas	0
21	Biogas	0
22	Biogas	0
23	Biogas	0
24	Biogas	0
25	Biogas	0
26	Biogas	0
27	Biogas	0
28	Biogas	0
29	Biogas	0
30	Biogas	0
31	Biogas	0
32	Biogas	0
33	Biogas	0
34	Biogas	0
35	Biogas	0
36	Biogas	0
37	Biogas	0
38	Biogas	0
39	Biogas	0
40	Biogas	0
41	Biogas	0
42	Biogas	0
43	Biogas	0
44	Biogas	0
45	Biogas	0
46	Biogas	0
47	Biogas	0
48	Biogas	0
49	Biogas	0
50	Biogas	0
51	Biogas	0
52	Biogas	0
53	Biogas	0
54	Biogas	0
55	Biogas	0
56	Biogas	0
57	Biogas	0
58	Biogas	0
59	Biogas	0
60	Biogas	0
61	Biogas	0
62	Biogas	0
63	Biogas	0
2	CH4_H2_Mix	0
3	CH4_H2_Mix	0
4	CH4_H2_Mix	0
5	CH4_H2_Mix	0
6	CH4_H2_Mix	0
7	CH4_H2_Mix	0
8	CH4_H2_Mix	0
9	CH4_H2_Mix	0
10	CH4_H2_Mix	0
11	CH4_H2_Mix	0
12	CH4_H2_Mix	0
13	CH4_H2_Mix	0
14	CH4_H2_Mix	0
15	CH4_H2_Mix	0
16	CH4_H2_Mix	0
17	CH4_H2_Mix	0
18	CH4_H2_Mix	0
19	CH4_H2_Mix	0
20	CH4_H2_Mix	0
21	CH4_H2_Mix	0
22	CH4_H2_Mix	0
23	CH4_H2_Mix	0
24	CH4_H2_Mix	0
25	CH4_H2_Mix	0
26	CH4_H2_Mix	0
27	CH4_H2_Mix	0
28	CH4_H2_Mix	0
29	CH4_H2_Mix	0
30	CH4_H2_Mix	0
31	CH4_H2_Mix	0
32	CH4_H2_Mix	0
33	CH4_H2_Mix	0
34	CH4_H2_Mix	0
35	CH4_H2_Mix	0
36	CH4_H2_Mix	0
37	CH4_H2_Mix	0
38	CH4_H2_Mix	0
39	CH4_H2_Mix	0
40	CH4_H2_Mix	0
41	CH4_H2_Mix	0
42	CH4_H2_Mix	0
43	CH4_H2_Mix	0
44	CH4_H2_Mix	0
45	CH4_H2_Mix	0
46	CH4_H2_Mix	0
47	CH4_H2_Mix	0
48	CH4_H2_Mix	0
49	CH4_H2_Mix	0
50	CH4_H2_Mix	0
51	CH4_H2_Mix	0
52	CH4_H2_Mix	0
53	CH4_H2_Mix	0
54	CH4_H2_Mix	0
55	CH4_H2_Mix	0
56	CH4_H2_Mix	0
57	CH4_H2_Mix	0
58	CH4_H2_Mix	0
59	CH4_H2_Mix	0
60	CH4_H2_Mix	0
61	CH4_H2_Mix	0
62	CH4_H2_Mix	0
63	CH4_H2_Mix	0
